150105,213,233,551,721,704,796,693,772,288
150110,1,557,570,447,444,526,580,519,429
150124,1,104,103,128,92,132,209,161,67
150226,315,376,820,713,353,886,1293,662,526
150227,171,502,1149,924,435,1205,1673,864,677
150228,767,720,1699,1404,665,1727,2503,1240,1074
150301,511,528,1419,1235,651,1508,2097,1170,809
150310,88,88,345,324,223,351,361,236,191
150311,125,115,428,415,266,407,419,313,248
150312,129,89,425,380,262,436,422,274,260
150313,83,98,376,364,233,374,367,257,214
150318,8,11,23,14,13,19,21,16,5
150319,11,20,39,25,25,35,36,25,7
150320,15,23,50,31,26,38,45,34,9
150321,17,25,44,28,26,39,45,31,7
150322,6,9,19,12,11,15,18,13,5
150326,53,640,876,694,967,638,1209,1037,738
150327,138,810,1225,839,1309,768,1658,1348,965
150328,139,1267,1723,1424,1803,1283,2419,2047,1424
150329,198,1042,1367,1166,1659,1003,1938,1677,1329
150402,9,115,112,139,60,159,171,123,111
150403,60,451,407,552,257,622,655,501,463
150404,189,1310,1363,1675,558,1760,1935,1392,1190
150405,188,1604,1458,1908,833,2353,2299,1671,1593
150406,25,444,456,547,215,654,649,503,472
150407,7,481,459,576,198,643,695,499,417
150408,11,440,416,519,250,646,687,515,450
150409,50,481,398,570,241,636,671,508,411
150410,16,453,455,557,246,640,682,449,439
150411,61,1446,1302,1687,766,1915,2070,1441,1347
150412,181,1555,1568,1966,862,2462,2598,1960,1571
150422,51,439,679,301,554,537,849,571,331
150423,21,506,796,367,703,625,1037,627,364
150424,61,474,714,335,571,555,869,632,324
150427,39,278,809,331,330,654,790,402,363
150503,35,123,317,123,243,289,389,248,80
150504,27,108,260,117,197,246,351,206,68
150505,39,138,360,132,294,364,447,300,95
150506,32,165,408,178,282,351,463,314,87
150512,756,1120,1901,748,722,1636,2155,1227,863
150513,1066,1326,2355,805,1003,2103,2678,1446,1025
150514,982,1253,2212,905,908,1890,2715,1533,1098
150515,690,1245,2109,727,841,1743,2329,1306,947
150529,23,133,313,331,210,279,305,231,267
150530,13,323,833,822,484,686,790,636,707
150531,31,322,683,728,499,638,681,457,570
150605,1,664,831,608,407,727,929,465,339
150606,1,1643,2195,1493,893,1809,2411,1255,716
150607,1,1361,1817,1277,944,1644,2126,968,696
150624,17,266,355,302,172,305,306,355,161
150625,23,297,425,354,209,353,360,410,188
150626,21,288,352,329,176,294,332,381,178
150625,215,179,572,678,485,699,901,460,338
150626,311,201,714,918,686,953,1212,559,465
150627,568,344,1042,1429,898,1440,1734,861,685
150628,101,235,982,1126,844,1152,1517,830,482
150718,1,1267,1989,842,1308,827,1435,1087,1278
150719,1,1252,1982,880,1275,843,1446,1120,1282
150725,38,421,1207,530,818,1125,1366,919,319
150726,11,347,980,477,714,978,1187,721,250
150727,11,201,603,297,420,552,701,480,151
150728,51,315,784,395,502,786,880,627,167
150825,221,246,476,671,487,776,992,480,226
150826,295,306,547,864,569,969,1287,583,258
150827,217,323,606,810,648,951,1191,541,235
150828,216,266,513,694,480,853,1070,543,246
150902,16,221,512,389,319,281,451,277,140
150903,11,278,617,481,342,312,510,338,167
150904,30,235,557,416,338,270,476,283,167
150910,9,217,321,228,234,311,273,250,213
150911,23,298,390,299,303,381,365,323,283
150912,1,404,628,479,489,584,531,478,396
150913,35,368,552,348,362,520,465,375,328
150916,129,427,602,575,458,280,667,414,220
150917,137,509,698,648,565,318,809,520,213
150918,138,425,595,629,502,286,706,432,256
151007,13,1153,1660,1002,840,1487,1235,833,1007
151008,8,1398,1898,1182,1066,1661,1345,1060,1240
151009,86,1236,1635,1090,919,1524,1182,936,1127
151013,103,181,200,170,111,191,275,149,166
151014,139,239,248,206,129,229,335,174,217
151015,130,211,251,220,144,238,329,167,186
151016,103,203,210,196,116,215,305,141,170
151020,331,354,603,507,382,733,859,786,546
151021,122,464,710,595,445,816,1018,925,583
151022,371,318,645,544,429,770,934,774,577
151028,20,384,650,421,395,388,675,589,200
151029,1,536,910,605,483,507,922,840,300
151030,18,581,947,629,552,577,951,790,299
151031,38,452,727,505,481,416,772,699,238
151105,37,209,531,446,336,412,499,396,123
151106,18,287,704,628,426,544,667,550,144
151107,11,174,392,340,248,305,385,283,110
151119,176,361,871,1063,736,861,1435,827,804
151120,268,376,1198,1458,986,1220,1830,1072,1017
151121,231,679,1746,2066,1463,1752,2760,1744,1642
151122,318,596,1483,1773,1221,1357,2433,1353,1311
151127,180,312,592,420,495,347,514,333,329
151128,111,892,1473,1039,1294,856,1295,798,824
151129,381,687,1296,987,1156,732,1061,772,670
151211,319,673,540,522,493,489,731,583,467
151212,930,1680,1423,1239,1229,1155,1965,1525,1134
151213,859,1534,1172,1100,1123,1053,1519,1242,1076
151218,13,112,230,143,242,257,383,225,111
151219,79,253,613,330,628,627,968,596,317
151220,109,222,538,317,535,546,839,516,217
